symbol,model,mae,rmse,r2,n_obs
FAST,rf,0.0007331063338949168,0.0010132663978899522,6.274099219405471e-05,213
FCX,rf,0.0012547385972586954,0.0018638309585439908,0.054335900674644666,233
FDS,rf,0.0011579003196109617,0.0017941953099857417,-0.0026032234909438845,78
FE,rf,0.0007558609897067506,0.001099556496001265,0.03497957077740266,227
FFIV,rf,0.0010711319897170738,0.0015105276049460848,0.08963084324685877,60
FI,rf,0.0006142698199545079,0.0009745964479625931,-0.013743525995531858,212
FICO,rf,0.001433850816225986,0.0022132783540763975,-0.012458722456573312,169
FIS,rf,0.000904996199674297,0.001344403694458651,0.025536788711150726,233
FITB,rf,0.0008670191514282379,0.0011949489837296443,0.11206096109380015,229
FOX,rf,0.0011539047670142825,0.0016366163603473462,-0.013854921551249566,152
FOXA,rf,0.001037192243855752,0.00146319131749211,-0.031046855256325667,214
FRT,rf,0.0010945255893064245,0.0018013474993934075,0.047096316049668574,121
FSLR,rf,0.0021595611142911646,0.0035073351105660575,0.06219015493526436,204
FTNT,rf,0.0010095094952977575,0.001339236394203313,0.008964749569388641,226
FTV,rf,0.0007836652806226765,0.0014099463146085484,-0.025405054823653073,169
GD,rf,0.0006356830871636279,0.000892019154608905,-0.011077799548965706,109
GDDY,rf,0.0011995458132812115,0.0021046139786891904,0.008657860067735168,161
GE,rf,0.001222158634944561,0.0021228201700956477,-0.11219552543078626,232
GEHC,rf,0.0008723413283881831,0.0014102270002972713,-0.0320666962785483,206
GEN,rf,0.0009088432653431425,0.001387526194158028,0.05246414610605099,207
GILD,rf,0.0006122461944180052,0.0010081606822183718,0.0446385444177414,232
GIS,rf,0.0007440141202579457,0.0010834066451425235,0.027725151980821816,230
GL,rf,0.0008245083175319241,0.0011007140002607812,0.06742752416819398,186
GLW,rf,0.0006914201034577864,0.0010498103784663862,0.03917655060944136,222
GM,rf,0.0010146079672041044,0.0017248561025496195,0.05389176554080066,233
GNRC,rf,0.0015061701868808312,0.002169985127078374,-0.003755183070531354,170
GOOG,rf,0.0006340249147441172,0.0008729518416081063,0.006355704634628201,233
GOOGL,rf,0.0006677179342101224,0.0009011718546795342,-0.006714009411119992,233
GPC,rf,0.0007051903792643775,0.0011440198921526857,0.008731274555245583,170
GRMN,rf,0.0008475687306110341,0.001154187069374741,0.06358087533895163,125
GWW,rf,0.0017677997835506148,0.0025482386902375797,0.06110783423544053,26
HAL,rf,0.000957308762102708,0.0017432062027420278,0.05323125352032332,229
HAS,rf,0.0012930929346827854,0.001912611072801733,0.025744639614915465,170
HBAN,rf,0.0008186076846127001,0.001432640275641681,0.019688103878343632,231
HCA,rf,0.0008103179161777478,0.001367366274958414,0.02740169053446584,186
HD,rf,0.0007772901138476301,0.0011791740304045197,-0.0027679142546752633,218
HIG,rf,0.0006306358626476197,0.000965067032253735,0.02148985935833636,210
HII,rf,0.0008917645322310268,0.0013927968659905197,-0.044409199518368414,130
HLT,rf,0.0005986991527699506,0.0008801030266169828,0.0486347874117361,193
HOLX,rf,0.0006770604011143226,0.0010339306749437434,0.00022648912393519183,166
HON,rf,0.0006247459479640522,0.0010258736221113152,0.04158706379842825,220
HPE,rf,0.0008414834098096103,0.0011948643614829433,0.06084886323519223,232
HPQ,rf,0.0007094408170966528,0.0009364883431961321,0.0399730282288584,232
HRL,rf,0.0008929835094397138,0.0014015051269745781,0.02505489140913908,204
HST,rf,0.0009530432223049382,0.0013153659316435882,-0.0060324815282739586,232
HUBB,rf,0.0013038374035440144,0.00183213748139272,0.008665557480684094,93
HUM,rf,0.0008352162133578939,0.0010659866212569158,0.026535691333061884,173
HWM,rf,0.0006047623208932992,0.0009343026166999896,0.024736064296069338,225
IBM,rf,0.0006194335794190927,0.000846955117008743,0.03652120707657758,209
ICE,rf,0.0007077650308090431,0.0010177334907437517,0.004918332269385095,213
IDXX,rf,0.0011762584949923916,0.0020078996375548744,-0.010928419320969107,99
IEX,rf,0.0011693525792233503,0.0016698666808659683,-0.059032820000085806,73
INCY,rf,0.0011165147809632258,0.0015047274418063562,0.010607819219714432,182
INTC,rf,0.0013375295661621019,0.0023966908593996456,0.0058175255478345456,233
INTU,rf,0.001105782333007247,0.0016269868827787398,-0.025097591883147974,126
INVH,rf,0.0007784467044000824,0.0010969312504605872,0.04392579762676985,230
IP,rf,0.00227141613097323,0.00433333474239531,-0.04611979014563383,232
IPG,rf,0.0011504354171840037,0.0017194211556241113,-0.049689991186218974,202
IQV,rf,0.0011161791485694485,0.0019736435828952483,-0.11230232120116446,156
IR,rf,0.0008697726090393048,0.0012420525886565406,-0.046092190108035114,207
IRM,rf,0.0010448077471268097,0.0016910634320667305,-0.009049472181455798,137
ISRG,rf,0.0011287524843772948,0.0016134239845958511,0.020891287342071463,174
IT,rf,0.001422123274125386,0.0018201453676915504,0.022775738607534013,76
ITW,rf,0.0006346848146399741,0.000946048659150896,0.07932471903055238,151
IVZ,rf,0.0009769293841317627,0.0017204871314372347,0.031809896408073635,228
J,rf,0.0009154717302801902,0.0014978760259107447,0.007357921565517622,98
JBHT,rf,0.0011797498366410077,0.001732961719924881,0.006290857572542441,138
JCI,rf,0.0005942083394189688,0.0008304473913413048,0.05254500590854161,229
