symbol,model,roc_auc,accuracy,precision,recall,f1,n_obs
EW,logreg,0.5145018915510718,0.4911504424778761,0.6842105263157895,0.10655737704918032,0.18439716312056736,226
EXC,logreg,0.5445902122641508,0.5341880341880342,0.2857142857142857,0.018867924528301886,0.035398230088495575,234
EXE,logreg,0.45919559412550065,0.502283105022831,0.4444444444444444,0.07476635514018691,0.128,219
EXPD,logreg,0.5078281145902732,0.4967741935483871,0.4772727272727273,0.27631578947368424,0.35,155
EXPE,logreg,0.513798790544255,0.5729166666666666,0.5882352941176471,0.11764705882352941,0.19607843137254902,192
EXR,logreg,0.44373983739837397,0.4585987261146497,0.47368421052631576,0.32926829268292684,0.38848920863309355,157
F,logreg,0.48241281245322554,0.5536480686695279,0.3333333333333333,0.0196078431372549,0.037037037037037035,233
FAST,logreg,0.4641843971631206,0.5467289719626168,0.2857142857142857,0.02127659574468085,0.039603960396039604,214
FCX,logreg,0.5391304347826086,0.5085470085470085,0.5,0.06956521739130435,0.12213740458015267,234
FDS,logreg,0.5915584415584415,0.569620253164557,0.631578947368421,0.5454545454545454,0.5853658536585366,79
FE,logreg,0.5458294428882664,0.5482456140350878,0.42857142857142855,0.029411764705882353,0.05504587155963303,228
FFIV,logreg,0.4264069264069264,0.4426229508196721,0.36363636363636365,0.2857142857142857,0.32,61
FI,logreg,0.5748941425546931,0.4835680751173709,0.42857142857142855,0.027522935779816515,0.05172413793103448,213
FICO,logreg,0.5684722222222222,0.4823529411764706,0.47560975609756095,0.975,0.639344262295082,170
FIS,logreg,0.5004437869822485,0.4358974358974359,0.375,0.023076923076923078,0.043478260869565216,234
FITB,logreg,0.5203787878787879,0.5260869565217391,0.5714285714285714,0.03636363636363636,0.06837606837606838,230
FOX,logreg,0.5106055422511119,0.5098039215686274,0.5476190476190477,0.2911392405063291,0.38016528925619836,153
FOXA,logreg,0.4704864116323352,0.5069767441860465,0.5,0.02830188679245283,0.05357142857142857,215
FRT,logreg,0.42076943771859027,0.4180327868852459,0.4166666666666667,0.31746031746031744,0.36036036036036034,122
FSLR,logreg,0.4905263157894737,0.47317073170731705,0.525,0.19090909090909092,0.28,205
FTNT,logreg,0.4853260869565218,0.5110132158590308,0.5555555555555556,0.044642857142857144,0.08264462809917356,227
