symbol,rows,coverage_pct,open_pct,high_pct,low_pct,close_pct,volume_pct,vwap_pct,trade_count_pct
AWK,15249,0.7757936507936508,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LEN,15261,0.7764041514041514,0.0,0.0,0.0,0.0,0.0,1.0,1.0
YUM,15284,0.7775742775742776,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CCI,15285,0.7776251526251526,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SBAC,15294,0.7780830280830281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CME,15298,0.7782865282865283,0.0,0.0,0.0,0.0,0.0,1.0,1.0
INTU,15308,0.7787952787952788,0.0,0.0,0.0,0.0,0.0,1.0,1.0
KEY,15312,0.778998778998779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNRC,15338,0.7803215303215303,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HSY,15347,0.7807794057794057,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MDLZ,15359,0.7813899063899064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GS,15363,0.7815934065934066,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BIIB,15364,0.7816442816442817,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SWKS,15373,0.7821021571021571,0.0,0.0,0.0,0.0,0.0,1.0,1.0
USB,15406,0.7837810337810338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXY,15420,0.7844932844932845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKR,15422,0.7845950345950345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMB,15427,0.7848494098494099,0.0,0.0,0.0,0.0,0.0,1.0,1.0
AES,15437,0.7853581603581603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFC,15438,0.7854090354090354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,15439,0.7854599104599105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GILD,15441,0.7855616605616605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPD,15447,0.7858669108669109,0.0,0.0,0.0,0.0,0.0,1.0,1.0
INCY,15453,0.7861721611721612,0.0,0.0,0.0,0.0,0.0,1.0,1.0
FDX,15477,0.7873931623931624,0.0,0.0,0.0,0.0,0.0,1.0,1.0
KEYS,15479,0.7874949124949125,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SYK,15479,0.7874949124949125,0.0,0.0,0.0,0.0,0.0,1.0,1.0
KMI,15480,0.7875457875457875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLX,15488,0.787952787952788,0.0,0.0,0.0,0.0,0.0,1.0,1.0
XYL,15491,0.7881054131054132,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TECH,15504,0.7887667887667887,0.0,0.0,0.0,0.0,0.0,1.0,1.0
V,15505,0.7888176638176638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NWSA,15528,0.78998778998779,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BSX,15536,0.7903947903947904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBH,15537,0.7904456654456654,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BLDR,15538,0.7904965404965405,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LNT,15541,0.7906491656491657,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BALL,15549,0.791056166056166,0.0,0.0,0.0,0.0,0.0,1.0,1.0
IQV,15557,0.7914631664631665,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DVN,15573,0.7922771672771672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROL,15584,0.7928367928367929,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TROW,15586,0.7929385429385429,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BRK.B,15587,0.792989417989418,0.0,0.0,0.0,0.0,0.0,1.0,1.0
