symbol,rows,open,high,low,close,volume,vwap,trade_count,open_pct,high_pct,low_pct,close_pct,volume_pct,vwap_pct,trade_count_pct,bars_expected_total,coverage_pct,vwap_availability_pct
GL,12924,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6575091575091575,1.0
LMT,12940,0,0,0,0,0,12940,12940,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6583231583231584,0.0
WFC,12943,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6584757834757835,1.0
CSCO,13007,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6617317867317868,1.0
MU,13075,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6651912901912902,1.0
ALLE,13267,0,0,0,0,0,13267,13267,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6749592999592999,0.0
CMI,13267,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6749592999592999,1.0
CCL,13291,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6761803011803011,1.0
SLB,13316,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6774521774521775,1.0
FCX,13320,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6776556776556777,1.0
GEV,13320,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6776556776556777,1.0
VZ,13354,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6793854293854293,1.0
XOM,13366,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.67999592999593,1.0
MHK,13385,0,0,0,0,0,13385,13385,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.680962555962556,0.0
AJG,13438,0,0,0,0,0,13438,13438,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.6836589336589337,0.0
QCOM,13440,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6837606837606838,1.0
GM,13446,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6840659340659341,1.0
CDW,13485,0,0,0,0,0,13485,13485,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19656,0.686050061050061,0.0
BMY,13524,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.688034188034188,1.0
KO,13527,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6881868131868132,1.0
C,13548,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656,0.6892551892551892,1.0
